Player,total_games,player_wins,opponent_wins,draws,player_wins_percent,player_draws_percent,average_moves,moe_average_moves,total_moves,player_wrong_actions,player_wrong_moves,wrong_actions_per_1000moves,wrong_moves_per_1000moves,mistakes_per_1000moves,moe_mistakes_per_1000moves,player_avg_material,opponent_avg_material,material_diff_player_llm_minus_opponent,moe_material_diff_llm_minus_rand,completion_tokens_black_per_move,moe_completion_tokens_black_per_move,moe_black_llm_win_rate,moe_draw_rate,moe_black_llm_loss_rate,win_loss,moe_win_loss,win_loss_non_interrupted,moe_win_loss_non_interrupted,game_duration,moe_game_duration,games_interrupted,games_interrupted_percent,moe_games_interrupted,games_not_interrupted,games_not_interrupted_percent,moe_games_not_interrupted,average_game_cost,moe_average_game_cost,reason_too_many_wrong_actions,reason_checkmate,reason_stalemate,reason_insufficient_material,reason_seventyfive_moves,reason_fivefold_repetition,reason_max_turns,reason_unknown_issue,reason_max_moves,reason_error,white_checkmates,black_checkmates,get_board_actions_per_move,get_legal_moves_per_move,make_move_per_move
GPT-4,30,0,3,27,0.0,90.0,192.167,11.487,5765,0,0,0.0,0.0,0.0,0.0,16.067,19.4,-3.333,3.205,6.567,0.054,0.0,0.107,0.107,0.45,0.055,0.45,0.055,1.0,0.0,0,0.0,0.0,30,100.0,0.0,1.07063,0.06646,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,3,0,0.0,0.0,0.0
GPT-4 32K,30,0,1,29,0.0,96.667,198.567,2.809,5957,0,0,0.0,0.0,0.0,0.0,13.767,17.9,-4.133,4.245,6.657,0.144,0.0,0.064,0.064,0.483,0.033,0.483,0.033,1.0,0.0,0,0.0,0.0,30,100.0,0.0,2.22246,0.06364,0.0,0.03333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.9666666666666667,0.0,1,0,0.0,0.0,0.0
GPT-4 Turbo,30,0,2,28,0.0,93.333,192.867,10.711,5786,0,0,0.0,0.0,0.0,0.0,15.433,20.8,-5.367,3.719,6.033,0.031,0.0,0.089,0.089,0.467,0.045,0.467,0.045,1.0,0.0,0,0.0,0.0,30,100.0,0.0,0.84817,0.04844,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.9333333333333333,0.0,2,0,0.0,0.0,0.0
GPT-4.1,30,1,4,25,3.333,83.333,187.667,12.449,5630,302,5,56.694,0.89,57.584,13.731,16.5,22.9,-6.4,3.066,19.231,0.363,0.064,0.133,0.122,0.45,0.072,0.45,0.072,1.0,0.0,0,0.0,0.0,30,100.0,0.0,0.27831,0.01837,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.8333333333333334,0.0,4,1,0.499,0.499,0.5
GPT-4.1 Mini,30,0,13,17,0.0,56.667,157.267,19.855,4718,71,20,17.607,4.705,22.312,6.806,20.467,27.9,-7.433,3.285,8.315,0.985,0.0,0.177,0.177,0.283,0.09,0.5,0.0,0.786,0.099,13,43.333,0.177,17,56.667,0.177,0.01645,0.00159,0.03333333333333333,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.5666666666666667,0.0,0,0,0.071,0.524,0.5
GPT-4.1 Nano,30,0,30,0,0.0,0.0,12.667,2.914,380,223,35,630.384,135.825,766.209,64.188,38.433,38.1,0.333,0.908,30.911,1.651,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.063,0.015,30,100.0,0.0,0,0.0,0.0,0.001,0.00023,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.443,0.5,0.512
GPT-4.5,30,0,2,28,0.0,93.333,196.267,5.955,5888,0,36,0.0,6.0,6.0,2.633,11.533,10.5,1.033,3.363,8.043,0.021,0.0,0.089,0.089,0.467,0.045,0.467,0.045,1.0,0.0,0,0.0,0.0,30,100.0,0.0,6.55394,0.21723,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.9333333333333333,0.0,2,0,0.5,0.5,0.506
GPT-4o (2024-05-13),30,0,5,25,0.0,83.333,186.033,12.294,5581,0,6,0.0,1.808,1.808,2.618,14.0,16.233,-2.233,2.225,30.475,1.023,0.0,0.133,0.133,0.417,0.068,0.446,0.058,0.975,0.039,2,6.667,0.089,28,93.333,0.089,0.26677,0.01759,0.06666666666666667,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.8333333333333334,0.0,3,0,0.0,0.0,0.0
GPT-4o (2024-08-06),30,1,3,26,3.333,86.667,190.2,8.639,5706,0,1,0.0,0.314,0.314,0.616,12.567,18.267,-5.7,3.209,8.245,0.579,0.064,0.122,0.107,0.467,0.065,0.467,0.065,1.0,0.0,0,0.0,0.0,30,100.0,0.0,0.21305,0.00939,0.0,0.13333333333333333,0.03333333333333333,0.0,0.0,0.0,0.0,0.0,0.8333333333333334,0.0,3,1,0.0,0.0,0.0
GPT-4o (2024-11-20),30,1,2,27,3.333,90.0,194.867,6.534,5846,1,1,0.167,0.167,0.333,0.454,10.067,19.067,-9.0,3.829,50.117,0.352,0.064,0.107,0.089,0.483,0.057,0.483,0.057,1.0,0.0,0,0.0,0.0,30,100.0,0.0,0.3229,0.0112,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,2,1,0.0,0.0,0.0
GPT-4o Mini,30,0,12,18,0.0,60.0,149.367,25.136,4481,13,24,4.701,31.083,35.785,27.634,20.433,24.867,-4.433,3.094,108.216,8.095,0.0,0.175,0.175,0.3,0.089,0.474,0.052,0.77,0.123,11,36.667,0.172,19,63.333,0.172,0.02189,0.00369,0.36666666666666664,0.03333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,1,0,0.0,0.0,0.0
Granite-3.1-8B-Instruct,30,0,30,0,0.0,0.0,4.2,0.889,126,47,12,447.5,91.667,539.167,175.539,38.967,39.0,-0.033,0.065,469.127,204.839,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.021,0.004,30,100.0,0.0,0,0.0,0.0,0.00291,0.00058,0.6,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0,0,0.0,0.0,0.0
Grok-2,30,1,19,10,3.333,33.333,111.5,24.834,3345,1,53,0.833,31.923,32.756,12.45,24.067,23.0,1.067,2.907,65.908,1.282,0.064,0.169,0.172,0.2,0.101,0.5,0.121,0.609,0.126,18,60.0,0.175,12,40.0,0.175,0.18478,0.0407,0.6,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,1,1,0.0,0.0,0.0
Grok 3 Mini (high),30,22,0,8,73.333,26.667,102.567,20.611,3077,3,68,0.847,19.626,20.473,5.363,26.933,3.3,23.633,4.224,449.771,626.64,0.158,0.158,0.0,0.867,0.08,0.867,0.08,1.0,0.0,0,0.0,0.0,30,100.0,0.0,0.03486,0.02196,0.0,0.7333333333333333,0.06666666666666667,0.03333333333333333,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0,22,0.446,0.419,0.52
Grok 3 Mini (low),30,7,0,23,23.333,76.667,174.467,15.923,5234,8,18,1.741,3.451,5.191,2.276,18.6,3.067,15.533,2.911,15.336,1.589,0.151,0.151,0.0,0.617,0.077,0.617,0.077,1.0,0.0,0,0.0,0.0,30,100.0,0.0,0.02145,0.00192,0.0,0.23333333333333334,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0,7,0.372,0.494,0.503
InternLM3-8B-Instruct,30,0,30,0,0.0,0.0,3.6,0.688,108,15,39,166.667,412.5,579.167,212.252,39.0,39.0,0.0,0.0,1543.898,429.669,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.018,0.003,30,100.0,0.0,0,0.0,0.0,0.01254,0.00281,0.6,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0,0,0.0,0.0,0.0
Llama-2-7B-Chat,30,0,30,0,0.0,0.0,2.133,0.182,64,88,2,1425.0,25.0,1450.0,68.091,39.0,39.0,0.0,0.0,116.312,68.493,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.011,0.001,30,100.0,0.0,0,0.0,0.0,9e-05,2e-05,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
Llama-3-70B-Instruct,30,0,15,15,0.0,50.0,148.3,22.34,4449,2,41,0.606,22.278,22.884,14.735,21.567,26.967,-5.4,3.086,41.609,2.695,0.0,0.179,0.179,0.25,0.091,0.469,0.061,0.743,0.112,14,46.667,0.179,16,53.333,0.179,0.02048,0.00289,0.4666666666666667,0.03333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,1,0,0.0,0.0,0.0
