model_name,total_games,black_llm_wins,white_rand_wins,draws,black_llm_wins_percent,black_llm_draws_percent,white_rand_wins_percent,llm_total_moves,llm_wrong_actions,llm_wrong_moves,llm_avg_material,llm_std_dev_material,rand_avg_material,rand_std_dev_material,material_diff_llm_minus_rand,material_diff_llm_minus_rand_per_100moves,wrong_actions_per_100moves,wrong_moves_per_100moves,wrong_actions_per_1000moves,wrong_moves_per_1000moves,mistakes_per_1000moves,std_dev_wrong_actions_per_1000moves,std_dev_wrong_moves_per_1000moves,std_dev_mistakes_per_1000moves,average_moves,std_dev_moves,completion_tokens_black,completion_tokens_black_per_move,std_dev_completion_tokens_black_per_move,moe_completion_tokens_black_per_move,min_moves,max_moves,prompt_tokens_black,total_tokens_black,moe_material_diff,moe_avg_moves,moe_wrong_actions_per_1000moves,moe_wrong_moves_per_1000moves,moe_mistakes_per_1000moves
gemma-2-27b-it@q6_k_l,30,0,22,8,0.0,26.666666666666668,73.33333333333333,3268,8,52,25.466666666666665,11.717164931116592,26.333333333333332,10.306788299827996,-0.8666666666666667,1.3392604995286117,0.3831407649251797,4.8078261437633945,3.831407649251797,48.07826143763394,51.90966908688574,8.09218553572312,69.5850841958457,69.63566615943594,108.93333333333334,70.56419592914268,179885,55.04436964504284,7.627197066843112,2.7293574175775106,10,200,2028385,2208270,2.669171283562778,25.251073216902363,2.8957514041892853,24.9007025829078,24.91880310611584
gemma-2-9b-it-8bit,30,0,26,4,0.0,13.333333333333334,86.66666666666667,2075,45,31,32,9.180188563911175,34.13333333333333,7.7581251438170575,-2.1333333333333333,-3.0559760306903234,16.366922692296473,7.1240543444811735,163.66922692296475,71.24054344481173,234.90977036777647,372.22554089131256,113.8875229408837,378.2574577493639,69.16666666666667,72.83333990899257,120608,58.12433734939759,13.096960671444986,4.686687185745504,2,200,1201066,1321674,1.8045446926836475,26.06307596164304,133.19919914747922,40.754126684297944,135.3576928738708
gemma2-9b-it,35,0,35,0,0.0,0.0,100.0,516,83,22,38.714285714285715,1.0451970985368817,38.31428571428572,2.272229127989524,0.4,1.1613037559521415,41.48091421576605,6.174548926428625,414.8091421576605,61.745489264286256,476.55463142194674,479.25786143819266,85.57500964607492,463.0309225488192,14.742857142857142,15.897359856912344,10432,20.217054263565892,4.551421096025642,1.5078879385119421,2,88,342837,353269,0.5636118814762305,5.266802758231758,158.7783537169787,28.35104073231911,153.40236127109787
gpt-35-turbo-0125,30,0,30,0,0.0,0.0,100.0,86,90,0,39,0.0,39,0.0,0,0.0,128.5,0.0,1285.0,0.0,1285.0,404.3193514179534,0.0,404.3193514179534,2.8666666666666667,1.8705214713316294,7054,82.02325581395348,44.82439506963676,16.04020377336009,2,10,89137,96191,0.0,0.6693575120421097,144.68382174888134,0.0,144.68382174888134
gpt-35-turbo-0301,30,0,30,0,0.0,0.0,100.0,68,90,0,39,0.0,39,0.0,0,0.0,140.0,0.0,1400.0,0.0,1400.0,259.3094277313203,0.0,259.3094277313203,2.2666666666666666,0.6914918072835208,4560,67.05882352941177,39.268143182044106,14.051924570603521,2,4,57543,62103,0.0,0.24744716530374364,92.79268698890385,0.0,92.79268698890385
gpt-35-turbo-0613,30,0,30,0,0.0,0.0,100.0,124,90,0,39,0.0,38.96666666666667,0.18257418583505536,0.03333333333333333,0.27777777777777773,105.16666666666667,0.0,1051.6666666666667,0.0,1051.6666666666667,527.3932860408061,0.0,527.3932860408061,4.133333333333334,2.825174188506312,11610,93.62903225806451,54.70543497077447,19.57608849106176,2,12,129031,140641,0.06533333333333333,1.0109755995251561,188.72526363499827,0.0,188.72526363499827
gpt-35-turbo-1106,30,0,30,0,0.0,0.0,100.0,108,88,2,39,0.0,39,0.0,0,0.0,113.02777777777777,0.8888888888888888,1130.2777777777778,8.88888888888889,1139.1666666666667,506.3272235852527,34.94202459809747,491.9473677576476,3.6,2.4297012729679484,5219,48.324074074074076,22.887643804132683,8.190238149115658,2,10,49156,54375,0.0,0.8694574341996607,181.18686999991505,12.503842917155202,176.0411046784201
gpt-4-0613,17,0,2,15,0.0,88.23529411764706,11.76470588235294,3232,0,0,14.764705882352942,9.437487826248478,20.41176470588235,7.211612367645427,-5.647058823529412,-3.1066629697564307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190.11764705882354,39.979498422537105,21268,6.580445544554456,0.18958183724317243,0.09012148480696598,35,200,548490,569758,4.433767173576097,19.005047171556285,0.0,0.0,0.0
gpt-4-32k-0613,11,0,1,10,0.0,90.9090909090909,9.090909090909092,2157,0,0,12.909090909090908,7.272613635475839,17.818181818181817,6.19383858068939,-4.909090909090909,-2.715981470758541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,196.0909090909091,12.964987816843836,14164,6.566527584608252,0.11080049908081409,0.06547891061717728,157,200,369433,383597,5.275505976281813,7.661818181818182,0.0,0.0,0.0
gpt-4-turbo-2024-04-09,30,0,2,28,0.0,93.33333333333333,6.666666666666667,5786,0,0,15.433333333333334,8.033049549048684,20.8,9.654014708917735,-5.366666666666666,-3.062647754137116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,192.86666666666667,29.93064780723798,34906,6.032837884548911,0.08651231569384422,0.03095803458091743,45,200,2439800,2474706,3.719412378917461,10.710544763647627,0.0,0.0,0.0
gpt-4o-2024-05-13,60,0,12,48,0.0,80.0,20.0,11057,1,16,13.633333333333333,7.955313045362672,17.35,7.0490412859372205,-3.716666666666667,-1.52775970493907,0.008333333333333333,0.3461510791480984,0.08333333333333333,3.461510791480984,3.5448441248143174,0.6454972243679028,13.806160480194352,13.800001345189362,184.28333333333333,37.280926948297484,346468,31.334720086822827,3.4351144673856893,0.8692038868007278,32,200,5019535,5366003,1.9141124636605054,9.43337606785952,0.16333333333333333,3.4934406015041684,3.4918821253204784
gpt-4o-2024-08-06,60,1,9,50,1.6666666666666667,83.33333333333334,15.0,11214,0,1,14.483333333333333,7.3496031638903245,19.333333333333332,8.711314806027705,-4.85,-3.2065795036217413,0.0,0.015723270440251572,0.0,0.15723270440251572,0.15723270440251572,0.0,1.217919291260194,1.217919291260194,186.9,31.814451465236647,86384,7.70322810772249,1.5343452763995387,0.3882429219180587,51,200,4649382,4735766,2.5698508958923365,8.050166925314263,0.0,0.3081761006289308,0.3081761006289308
gpt-4o-2024-11-20,71,3,6,62,4.225352112676056,87.32394366197182,8.450704225352112,13470,1,1,11.901408450704226,8.055441691494664,19.901408450704224,8.637385400649675,-8,-4.1770473664269865,0.007042253521126761,0.007042253521126761,0.07042253521126761,0.07042253521126761,0.14084507042253522,0.5933908290969266,0.5933908290969266,0.8331656437585733,189.71830985915494,32.63748200134823,681249,50.575278396436524,1.088165291311674,0.2531172633271257,29,200,6229300,6910549,2.499408831512414,7.5917787417310905,0.1380281690140845,0.1380281690140845,0.19380199803298997
gpt-4o-mini-2024-07-18,30,0,12,18,0.0,60.0,40.0,4481,13,24,20.433333333333334,9.339140229693795,24.866666666666667,9.179186852023866,-4.433333333333334,-3.8657824800518807,0.4701451970801816,3.1083346306256523,4.701451970801815,31.083346306256523,35.784798277058336,11.075969128911398,77.4024572511214,77.22372138224812,149.36666666666667,70.24316549565926,484917,108.21624637357732,22.621045465372628,8.09483715881323,10,200,2438163,2923080,3.093589178876671,25.1361939516602,3.9634846502486036,27.69811360394209,27.63415379469353
granite-3.1-8b-instruct,30,0,30,0,0.0,0.0,100.0,126,47,12,38.96666666666667,0.18257418583505536,39,0.0,-0.03333333333333333,-0.4166666666666667,44.75,9.166666666666666,447.5,91.66666666666667,539.1666666666666,471.81149029615517,223.55324564820512,490.54347646141474,4.2,2.483045960384002,59110,469.12698412698415,572.4239729776169,204.83928800495804,2,10,377120,436230,0.06533333333333333,0.8885465854319393,168.83557346855153,79.99750155741016,175.53872863001527
grok-2-1212,49,2,32,15,4.081632653061225,30.612244897959183,65.3061224489796,5593,1,93,25.3265306122449,11.336496657371052,22.387755102040817,9.67775870775058,2.938775510204082,4.224505409505577,0.05102040816326531,3.228054641491559,0.5102040816326531,32.28054641491559,32.79075049654825,3.5714285714285716,33.29480785150806,33.76028874374135,114.14285714285714,67.88716128007317,370417,66.22867870552476,3.7027424516942338,1.0367678864743854,26,200,2811967,3182384,2.5202645363797296,19.00840515842049,1.0,9.322546198422257,9.452880848247577
internlm3-8b-instruct,30,0,30,0,0.0,0.0,100.0,108,15,39,39,0.0,39,0.0,0,0.0,16.666666666666668,41.25,166.66666666666666,412.5,579.1666666666666,401.14777854287695,538.546495287275,593.1390534955603,3.6,1.9226418606016906,166741,1543.898148148148,1200.712166233126,429.66933049762696,2,8,690605,857346,0.0,0.6880085538094294,143.5488889713334,192.71638830633754,212.25208436669746
llama-2-7b-chat,30,0,30,0,0.0,0.0,100.0,64,88,2,39,0.0,39,0.0,0,0.0,142.5,2.5,1425.0,25.0,1450.0,238.07779082215674,100.6444749841122,190.28109877684682,2.1333333333333333,0.5074162634049248,7444,116.3125,191.40390584419586,68.49300805930116,2,4,75064,82508,0.0,0.1815765778944155,85.19504329653721,36.015162834880925,68.0912167104058
