model_name,total_games,black_llm_wins,white_rand_wins,draws,black_llm_wins_percent,black_llm_draws_percent,llm_total_moves,llm_wrong_actions,llm_wrong_moves,llm_avg_material,llm_std_dev_material,rand_avg_material,rand_std_dev_material,material_diff_llm_minus_rand,material_diff_llm_minus_rand_per_100moves,wrong_actions_per_100moves,wrong_moves_per_100moves,wrong_actions_per_1000moves,wrong_moves_per_1000moves,mistakes_per_1000moves,std_dev_wrong_actions_per_1000moves,std_dev_wrong_moves_per_1000moves,std_dev_mistakes_per_1000moves,average_moves,std_dev_moves,completion_tokens_black,completion_tokens_black_per_move,min_moves,max_moves,prompt_tokens_black,total_tokens_black,moe_material_diff,moe_avg_moves,moe_wrong_actions_per_1000moves,moe_wrong_moves_per_1000moves,moe_mistakes_per_1000moves
llama-3.1-8b@q4_k_m|t001,70,0,70,0,0.0,0.0,1438,25,142,37.97142857142857,2.340391572411617,38.27142857142857,2.028217097914642,-0.3,-1.1067744215351085,2.991195312623884,16.70056845429973,29.91195312623884,167.0056845429973,196.91763766923614,77.69974612901316,150.55070547628023,162.02082293451434,20.542857142857144,16.290555380863392,170921,118.86022253129346,4,96,1500866,1671787,0.5296454378686486,3.8163038192182377,18.202316064237504,35.26873202678235,37.95577688432979
llama-3.1-8b@q8_0,150,0,150,0,0.0,0.0,3453,94,255,37.46666666666667,3.3631773620610748,37.96,2.6869807911133416,-0.49333333333333335,-1.4784643717590404,5.365352301459472,12.367636337287756,53.653523014594725,123.67636337287756,177.3298863874723,138.98748819437603,133.03179311988396,183.98769940247212,23.02,22.054377580648215,365365,105.81088908195771,2,138,3680631,4045996,0.43511919677993194,3.5294354822613188,22.24263054487838,21.28952083046569,29.44416418899583
llama-3.1-8b@q8_0|NOFA,70,0,70,0,0.0,0.0,1342,52,123,37.92857142857143,2.5155829045961653,38.08571428571429,2.2441089199770357,-0.15714285714285714,-0.38896656659571077,7.40893523417272,11.542242554361133,74.0893523417272,115.42242554361133,189.51177788533852,147.1930012640413,98.05158288884599,159.17295928600774,19.17142857142857,13.60090728918578,132864,99.00447093889717,2,68,1414283,1547147,0.7119421894784859,3.1862139269681493,34.48214009609684,22.970035183617195,37.288622655126794
llama-3.1-8b@q8_0|t001,70,0,70,0,0.0,0.0,1704,39,143,36.81428571428572,4.226530619385663,37.24285714285714,3.7971603206916607,-0.42857142857142855,-1.4076028556558267,4.838365681260097,12.841230991822666,48.38365681260097,128.41230991822667,176.79596673082764,111.0984903699701,108.71596722513253,139.547266079705,24.34285714285714,19.18626147532619,149526,87.75,6,92,1780719,1930245,0.8697719174621569,4.494665849810114,26.026466452233777,25.46832512651198,32.69101341548103
llama-3.1-8b@unk|cerebras,81,0,80,1,0.0,1.2345679012345678,2230,41,169,37.17283950617284,3.797334997918903,37.81481481481482,2.64154836748786,-0.6419753086419753,-1.6138853389351422,3.60905816652004,12.19775474690203,36.0905816652004,121.9775474690203,158.0681291342207,57.51382444560872,95.38754676187936,113.34126449110477,27.530864197530864,23.094418383969472,355117,159.24529147982062,5,100,1841134,2196251,0.8562216885492226,5.029451114731129,12.525232879265898,20.77328796147595,24.68320871139615
llama-3.1-8b@unk|groq,60,0,60,0,0.0,0.0,1754,27,146,36.61666666666667,4.32999654231931,37.53333333333333,2.977125599661222,-0.9166666666666666,-2.980310189815331,3.0761016391498845,14.210738044440948,30.76101639149885,142.10738044440947,172.86839683590833,57.328862281400355,111.87094405565827,134.39497398999626,29.233333333333334,21.58810616250568,292050,166.50513112884835,6,98,1635437,1927487,0.9808762560869637,5.462544542044757,14.506203619694965,28.307254479134983,34.00662041037932
qwen2.5-14b@q4_k_m,70,0,70,0,0.0,0.0,310,61,16,39,0.0,38.98571428571429,0.11952286093343936,0.014285714285714285,0.1020408163265306,27.400510204081634,4.178571428571429,274.0051020408163,41.785714285714285,315.7908163265306,464.98110583472106,149.6809062840152,467.9787639927078,4.428571428571429,2.907119838550448,528622,1705.2322580645161,2,16,937808,1466430,0.027999999999999997,0.6810358691526194,108.92870921674601,35.06496868650402,109.63095502786636
qwen2.5-14b@q8_0,70,0,70,0,0.0,0.0,666,57,153,38.857142857142854,0.6870587234298053,38.957142857142856,0.203997320649802,-0.1,-0.43860108145822435,10.941566370137798,31.834740656169227,109.41566370137798,318.34740656169225,427.7630702630703,173.60444691533039,261.42865690353506,220.46984926848233,9.514285714285714,5.66131765566495,401509,602.8663663663664,4,28,510049,911558,0.1699166035851501,1.326247490401811,40.669412325531866,61.24353396607022,51.64832678290098
qwen2.5-7b@q4_k_m,70,0,70,0,0.0,0.0,728,97,113,38.714285714285715,0.8536852276506269,38.785714285714285,0.6113149794833975,-0.07142857142857142,-0.4158637814099999,34.26757626127374,24.451030412164865,342.6757626127374,244.51030412164866,587.186066734386,503.12266151492565,330.71732778367095,526.1332912712785,10.4,7.776590661648624,80620,110.74175824175825,2,34,481922,562542,0.19669442201591256,1.8217815138094828,117.86393341323226,77.47543110685412,123.25451416193674
qwen2.5-7b@q8_0,70,0,70,0,0.0,0.0,970,43,161,38.628571428571426,1.1442538049691315,38.6,1.5074693257628635,0.02857142857142857,-0.019004895968724927,7.205144062286919,29.900322615110703,72.0514406228692,299.003226151107,371.05466677397624,173.99585390761757,350.91402695792294,368.3825290743377,13.857142857142858,9.258424623068182,105807,109.07938144329897,2,46,608811,714618,0.35443165363924434,2.16892306142399,40.761105209206605,82.20680694962263,86.29906223400705
